"H4"||"H"||4||64|||89||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||14|28|42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22142364"|"65377994"
"H2"||"H"||2||13|||53|||||0|0|0|5|23|40|50|55|60|45|50|55|30|35|38|15|20|22||67.9|||4.5|||14.5|||18|||20.2|||10.7|||19.6||||||||7|12.5|18||||0|0.25|0.5||||1.2|1.35|1.5|||||1.5|||42|92|141|0.06|0.09|0.12|||||9.4|||4.1|||26||0|1.5|2.9|15|23.5|32|0|4.5|9|0|0|0|".05"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|4.9|7.4|1.8|3.7|5.6|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"22142364"|"65377992"
"H3"||"H"||3||53|||64|||||0|0|0|10|30|50|50|55|60|45|50|55|30|35|38|15|20|22||66.9|||4.7|||13.6|||16.7|||20.1|||11.8|||23.1||||||||5|10|15||||0|0.25|0.5||||1.2|1.35|1.5|||||1.47|||42|92|141|0.05|0.08|0.1|||||8|||3.1|||24||0|1.5|2.9|15|23.5|32|0|4.5|9|0|0|0|".05"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|1.8|4.1|6.4|1.3|3|4.8|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"22142364"|"65377993"
"H1"||"H"||1||0|||13|||||0|0|0|0|3|5|45|75|80|40|70|75|24|45|50|12|25|30||65.9|||4.3|||14.1|||17.5|||19.6|||10.4|||19.1||||||||7|15|20||||2|3|4||||1.2|1.35|1.5|||||1.45|||42|92|141|0.08|0.1|0.12|||||17.4|||9.9|||37||0|1.5|2.9|10|21|32|0|5|10|0|0|0|".05"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|7|12|16|5.2|9|12|1|2.4|4.4|3.6|5.1|6.5|||||||||||||||||||||||||||||||||"22142364"|"65377991"
"H1"||"H"||1||0|||13|||||0|0|0|0|3|5|45|75|80|40|70|75|24|45|50|12|25|30||65.9|||4.3|||14.1|||17.5|||19.6|||10.4|||19.1||||||||7|15|20||||2|3|4||||1.2|1.35|1.5|||||1.45|||42|92|141|0.08|0.1|0.12|||||17.4|||9.9|||37||0|1.5|2.9|10|21|32|0|5|10|0|0|0|".05"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|7|12|16|5.2|9|12|1|2.4|4.4|3.6|5.1|6.5|||||||||||||||||||||||||||||||||"22142368"|"65378003"
"H3"||"H"||3||53|||64|||||0|0|0|10|30|50|50|55|60|45|50|55|30|35|38|15|20|22||66.9|||4.7|||13.6|||16.7|||20.1|||11.8|||23.1||||||||5|10|15||||0|0.25|0.5||||1.2|1.35|1.5|||||1.47|||42|92|141|0.05|0.08|0.1|||||8|||3.1|||24||0|1.5|2.9|15|23.5|32|0|4.5|9|0|0|0|".05"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|1.8|4.1|6.4|1.3|3|4.8|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"22142368"|"65378005"
"H2"||"H"||2||13|||53|||||0|0|0|5|23|40|50|55|60|45|50|55|30|35|38|15|20|22||67.9|||4.5|||14.5|||18|||20.2|||10.7|||19.6||||||||7|12.5|18||||0|0.25|0.5||||1.2|1.35|1.5|||||1.5|||42|92|141|0.06|0.09|0.12|||||9.4|||4.1|||26||0|1.5|2.9|15|23.5|32|0|4.5|9|0|0|0|".05"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|4.9|7.4|1.8|3.7|5.6|1|2.4|4.4|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"22142368"|"65378004"
"H4"||"H"||4||64|||89||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||14|28|42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"22142368"|"65378006"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|0|95|97.5|100|90|95|100|81|95|100|65|85|90||13.9|||0.1|||0.4|||1|||4|||8.4|||70.1||||||||12|16|20||||2|3|4||||1.35|1.48|1.6|||||1.6|||4|9|14|0.14|0.19|0.23|||||27.9|||13.2|||39||0|1.5|2.9|18|21|25|3|5|7|0|1|4|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|7.5|10.8|14|5.6|8.1|10.5|3.1|7.3|12.8|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"22142369"|"65378007"
"H2"||"H"||2||23|||94|||||0|0|0|0|0|0|95|97.5|100|90|95|100|81|95|100|65|85|90||6.8|||0|||0|||0.2|||1.9|||4.7|||67.2||||||||18|26|35||||2|3|4||||1.4|1.53|1.65|||||1.7|||4|9|14|0.14|0.19|0.23|||||32|||19.4|||38||0|1.5|2.9|23|30|38|6|10|14|1|7|13|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|9|13.2|17.8|6.8|9.9|13.3|3.1|7.3|12.8|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"22142369"|"65378008"
"H3"||"H"||3||94|||157|||||0|0|0|0|0|0|70|95|100|65|90|100|62|90|95|55|85|90||7|||0.4|||0.6|||0.9|||2.2|||2.9|||65||||||||18|28|35||||0.5|2.25|4||||1.4|1.53|1.65|||||1.71|||4|9|14|0.13|0.18|0.23|||||31|||19|||37||0|1.5|2.9|23|32|38|6|11|14|0|8|13|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|5.6|12.2|17.8|4.2|9|13.3|3.1|7.3|12.8|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"22142369"|"65378009"
